_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cfab27c93a6817a0665,2010,Kwame Brown,C,27,9,DET,3.7,0.5,0.3,0.3,3.3
66642cfab27c93a6817a0666,2010,Kyle Korver,SG,28,7,UTA,2.1,1.7,0.5,0.2,7.2
66642cfab27c93a6817a0667,2010,Kyle Lowry,PG,23,4,HOU,3.6,4.5,0.9,0.1,9.1
66642cfab27c93a6817a0668,2010,Kyle Weaver,SG,23,2,OKC,1.5,0.9,0.5,0.5,3
66642cfab27c93a6817a0669,2010,Kyrylo Fesenko,C,23,3,UTA,1.8,0.3,0.1,0.4,2.6
66642cfab27c93a6817a066a,2010,LaMarcus Aldridge,PF,24,4,POR,8,2.1,0.9,0.6,17.9
66642cfab27c93a6817a066b,2010,Lamar Odom,PF,30,11,LAL,9.8,3.3,0.9,0.7,10.8
66642cfab27c93a6817a066c,2010,Larry Hughes,SG,31,12,TOT,3.2,3,1.2,0.3,9.1
66642cfab27c93a6817a066d,2010,Larry Hughes,SG,31,12,NYK,3.5,3.5,1.3,0.4,9.6
66642cfab27c93a6817a066e,2010,Larry Hughes,SG,31,12,CHA,2.3,2,0.9,0.3,8.1
66642cfab27c93a6817a066f,2010,LeBron James,SF,25,7,CLE,7.3,8.6,1.6,1,29.7
66642cfab27c93a6817a0670,2010,Leandro Barbosa,PG,27,7,PHO,1.6,1.5,0.5,0.3,9.5
66642cfab27c93a6817a0671,2010,Leon Powe,SF,26,4,CLE,3.1,0,0.3,0.1,4
66642cfab27c93a6817a0672,2010,Lester Hudson,PG,25,1,TOT,0.7,0.5,0.3,0.1,2.3
66642cfab27c93a6817a0673,2010,Lester Hudson,PG,25,1,BOS,0.5,0.5,0.2,0.1,1.4
66642cfab27c93a6817a0674,2010,Lester Hudson,PG,25,1,MEM,1.1,0.6,0.6,0.1,4
66642cfab27c93a6817a0675,2010,Lindsey Hunter,PG,39,17,CHI,1.1,0.7,0.1,0,1
66642cfab27c93a6817a0676,2010,Lou Amundson,PF,27,4,PHO,4.4,0.4,0.3,0.9,4.7
66642cfab27c93a6817a0677,2010,Lou Williams,PG,23,5,PHI,2.9,4.2,1.3,0.2,14
66642cfab27c93a6817a0678,2010,Luc Mbah a Moute,PF,23,2,MIL,5.5,1.1,0.8,0.5,6.2
66642cfab27c93a6817a0679,2010,Luis Scola,PF,29,3,HOU,8.6,2.1,0.8,0.3,16.2
66642cfab27c93a6817a067a,2010,Luke Ridnour,PG,28,7,MIL,1.7,4,0.7,0.1,10.4
